" כיום הוכח " , מוסיפה רוטנברג , " כי במפעל שנצבע וחזותו שופרה עלתה רמת המוטיוואציה של העובדים , ובהתאם לכך עלו גם תפוקתו ורווחיותו " .	עלתה	14	3
הגישה שלהם שונה מגישת הטלוויזיה הצרפתית : הם מתרכזים בשרטוט מצוין של דיוקנאות סופרים , ובאמצעותם הם מגיעים אל היצירה עצמה .	מתרכזים	8	2
אין לצפות שהחומר יהיה זמין לטיפול בחולי סרטן בשנים הקרובות : גם אם הפרסום יביא להתעניינות מידית של גורמים מממנים , בדיקות קליניות עשויות להימשך לפחות שנתיים , וכן יהיה צורך לפתח שיטה יעילה להפקת החומר הפעיל .	מממנים	19	1
ההסדרים עם החברות לא סיפקו את הסוכנים , שטענו כי עדכוני העמלות אינם מכסים את הוצאותיהם בפועל , וכי יש מקום לעדכונים נוספים .	מכסים	13	2
בתום יום של סיורים , קם אצלם לתחייה הרגש הפטריוטי היהודי - ישראלי .	קם	5	3
כדי לא להבין רוח זו היה אלפרד נובל צריך להיות תמים במידה מפליאה , או שוודי .	מפליאה	12	3
החדר , שבו מתרחשת הפגישה הראשונה בין השניים , מואפל , כאמור , אבל מבעד לחרכי התריסים חודרות קרניים ונשברות במראות ובחפצי זכוכית ומטילות בחדר נגוהות .	חודרות	17	2
בגלל תחושה של אוזלת יד מלעיטות עצמן נשים טורקיות רבות בתרופות אספירין , ואליום , ליבריום , נובלגין .	מלעיטות	5	2
בעיות שפה מקשות על אבחון נכון .	מקשות	2	2
נ חתם בקבוצת נאפולי האיטלקית .	חתם	1	3
להלן הודיע הבנק ללקוחה כי יעביר את הכספים שהצטברו לזכותה , כולל כל ההטבות , לתוכנית חדשה ( " כוח תשורת המשך " ) , כאשר המדד היסודי לגבי התוכנית החדשה יהיה המדד שיפורסם בגין אוקטובר 0991 .	יעביר	5	3
אמש אמר סטרויסקי ל"הארץ " שדמי השכירות היוו כ52 % ממחזור המכירות .	היוו	7	3
נ מוראלי חשוב השיג הפועל תל אביב במשחק שלא התעלה לרמה גבוהה ואלמלא המאבק הצמוד והסיום הדרמאטי , לפני ההארכה , הוא היה מוכתר כמאכזב .	מוכתר	23	1
הייתי ילדה בת שמונה , ולמרות שהייתי מספיק צעירה להתגבר על המבטא ושאר הבעיות , ההיטמעות בחברה הישראלית והלחץ האדיר שהיא מפעילה להפוך אותך לאחד ממנה , חרוטים בי עד היום .	חרוטים	27	1
המשטרה נעזרה בצינורות מים , בכלבים ובגז מדמיע כדי לפזר יותר מ - 150 איש , רבים מהם עוטי מסיכות , שהתפרעו בשבת בעיר מאגדבורג , סיפר דובר המשטרה , יורגן ויינר .	עוטי	18	3
מנכ"ל החברה , גיורא מיוחס , ציין את תרומתו של התהליך החדש לבריאות העובדים בתעשיות הגומי והדבקים .	ציין	6	3
טילפנתי לרוקח האחראי , מר ליזר קסל .	טילפנתי	0	1
אינני יכולה שלא להתרשם מכך שהוא מתעלם מכמה נקודות מפתח דווקא במסעם של תלמידי התיכון המסורתי שאותם הוא מרבה לצטט .	מרבה	18	1
לאלה שניסו להתחכם וביקשו כי במקום ניכוי ימי היעדרות ינכו ימים מחופשתם השנתית , הבהיר דנון כי אין להמיר ימי חופשה בימי היעדרות .	ינכו	9	3
לאורך כל הדרך הקפדתי לא לדכא את הרוח , ללא פאתוס מיותר , אבל להרטיט את הנפש זה היה תפקידי , ואני הזדהיתי עמו , וזה תוכן סיפורי .	הקפדתי	3	1
קישור עדיין מקרטע .	מקרטע	2	3
הדוקר נפצע באורח קל ונלכד .	נפצע	1	3
לאחר שנכנעה לבלתי נמנע ונאפה עם בנה החורג , מופתעת דוניה לוקרסיה מהרגשת הסיפוק האופפת אותה .	נמנע	3	2
במהלך השוד בסניף בנק אמריקאי - ישראלי בשדרות מוריה בחיפה , התקרב לעבר הנאשם עובד של הבנק .	התקרב	11	3
" כיהודי מאמין אני עושה את מה שמצווה עלי התורה ואת מה שדורש ממני אלוהים " , אמר כהנא .	עושה	4	3
מסמנים את קטע ההריסה ומתקנים אותו כמו בניתוח פלסטי .	מסמנים	0	2
שלושת החשודים נעצרו כבר ב4 בנובמבר , אולם אז הוטל איסור פרסום על הפרשה .	הוטל	9	3
לדוגמה , בשנות ה06 של המאה ה91 , כאשר היה מחסור עולמי בכותנה , עקב מלחמת - האזרחים בארה"ב , יזמו גידול כותנה בארץ שפתרה , מקומית , את הבעיה .	יזמו	20	3
וכהנא עונה בפשטות : " ולכן אנחנו צריכים להוציא אתכם בכוח מכאן " .	עונה	1	1
רבים יותר , בישראל , בפולין ובארצות הברית , מכירים ספר שובה לב שכתב ושמו " בית מרקחת בגטו קרקוב " ( בהוצאת " יד ושם " ) .	שובה	11	1
התקציבים המוגדלים יאפשרו לזמן מה לשוב לעידן הפעילות השטחית והראוותנית .	יאפשרו	2	3
בנוסף , בתקופה הראשונה השקענו כסף רב באורח מוטעה .	השקענו	4	1
העיר מתאימה להם וחיי הקיבוץ אינם בשבילם " .	מתאימה	1	1
לו רק היה הימין סומך קצת על השמאל שיעזור לו להשתחרר מהפחד , היינו כולנו נשכרים .	סומך	4	1
רז היה אמור לצפות במשחק אימון בין נערי טורקיה ופולין באמצע השבוע , ולהמתין לנבחרת ישראל שתגיע לאיסטנבול בעוד שבוע , אך התברר כי נערי פולין כלל לא יגיעו לטורקיה .	יגיעו	28	3
קולם של הילדים הללו איננו נשמע .	נשמע	5	1
כוויית היא אוסטריה , וכמסתמא אפילו ברנאדט שכח אולי רצה לשכוח כיצד מתקדם הטור הפוליטי בנוסח שנות ה03 .	מתקדם	12	1
הנושא הזה מוצג בפני הקורא כבר בפתח הספר .	מוצג	2	1
הגישה ששגב מייצג היא בדיוק הסיבה לפופולריות ההולכת וגוברת של דבקית בנוסח " העם נגד תקשורת עוינת " , היינו : עוינת את רגשותיו הטבעיים ביותר כעם .	מייצג	2	1
גבולות מדיניים מפרידים בין ארצות , וגבולות אתניים מפרידים בתוך הארצות עצמן .	מפרידים	2	1
לפי תקנון הקרן אין למועצת המנהלים סמכות לפטר את המנכ"ל ולכן תפורסם היום הודעת זימון לאספה הכללית של בעלי המניות .	תפורסם	11	3
