" Kao pozitivan zaokret " Grossman je pozdravio izdavanje naloga za uhićenje četvorice generala , dodajući kako je " sada ključna stvar njihovo uhićenje i slanje u Haag " .	Grossman	5	Nom
Mi smo Ase i Jacek , i pokušali smo u ovoj knjizi predstaviti Sarajevo onakvo kakvo mi doživljavamo svakodnevno .	Ase	2	Nom
Liberalizacijom vanjske trgovine povećavamo mogućnost plasmana svojih roba na svjetsko tržište .	Liberalizacijom	0	Ins
S dvanaest godina uzimao je Karl instrukcije iz stranih jezika , ali tako da bi ih sam i plaćao novcem zarađenim postavljanjem čunjeva kuglačima u gostionici , u susjednom Hohensteineu .	Hohensteineu	29	Loc
Nedavno je ponuđena nagrada od $ 3,000 kreatoru drivera otvorenog koda za Xbox 360 Kinect , kontroler osjetljiv na pokrete .	Xbox	12	Acc
Vrdoljak je sakupio niz glazbenih profila , od Ive Robića , Boška Petrovića , Zdenka Runjića , Olivera Dragojevića , Drage Mlinarca i ostalih manje ili više važnih junaka hrvatske glazbe .	Vrdoljak	0	Nom
Predsjednik kompanije ispričao se Istrijanima zbog gluposti koje su radili na početku , obećao je da će sve dovesti u red , ali od toga nema ništa .	Istrijanima	4	Dat
" U današnjem postpostmodernizmu u kojem je sve cinično i kvazizabavno , mi pokušavamo stvoriti funkcionalan i atraktivan namještaj , koji koristi najsuvremeniju tehnologiju , a istodobno zadržava život " , kaže dizajner Nikola Radeljković , direktor Numena .	Radeljković	34	Nom
Kandidat Kosova za veleposlanika u Sloveniji Anton Berisha sastao se u utorak ( 5. siječnja ) s predsjednikom Danilom Turkom u Ljubljani .	Danilom	18	Ins
Nakon što su pretukli Stanka Penavića doveli su ga i bacili među nas .	Penavića	5	Acc
Prepoznatljiva je po pomalo zdepastu tijelu sa cik-cak šarom na leđima , trokutaste glave i sa roščićem na vrhu , iako većina neće ulaziti u analizu kad ugledaju gmizavca , zatuku ga pa razgledavaju .	roščićem	16	Ins
Također , prijetilo se i zajedničkom presicom roditelja poginulih nogometaša i predstavnika automobilske tvrtke na kojoj bi se Index.hr optužilo za ismijavanje njihove tragedije .	Index.hr	18	Acc
Milan Antonijević , ravnatelj beogradske nevladine udruge YUCOM , kaže kako Romi čine najveću etničku manjinu u Srbiji , a slijede Albanci , Bosanci , Mađari i ostali .	Romi	11	Nom
Tužitelji su također tvrdili kako su bivši ministar i suutemeljitelj takozvanog Odbora za obranu Ramusha Haradinaja dozvolio Morinino putovanje , a Ministarstvo kulture snosilo je troškove .	Ramusha	14	Gen
" Srbija bi nove kredite od EU i MMF-a trebala iskoristiti za ulaganja u tvrtke koje će se usredotočiti na izvoz , ili barem zamijeniti uvoz te tako novac zadržati u zemlji " , rekao je Ćulibrk .	Ćulibrk	36	Nom
Vijest o novom udaru nekada moćnoj skupini došla je i u ponedjeljak , iz Pakistana .	Pakistana	14	Gen
Osnivanjem mnogobrojnih folklornih grupa u Istri naglašavala se njihova važnost i uloga , tako da ih danas svira znatno više ljudi no ikad dosada .	Istri	5	Loc
